,cro             1,1,1,1,1,1,average
TEM-1-0000,0.00026,0.00026,0.00028,0.00026,0.00026,0.00025,0.000261667
L21F-1000,0.00027,0.00027,0.00023,0.00024,0.0002,0.00025,0.000243333
R164S-0100,0.00023,0.00019,0.00025,0.0002,0.0002,0.00019,0.00021
E240K-0010,0.00027,0.00028,0.00027,0.0002,0.00025,0.00027,0.000256667
T265M-0001,0.00026,0.00017,0.00024,0.00024,0.0002,0.00019,0.000216667
L/R-1100,0.00019,0.00019,0.00026,0.00029,0.00029,0.00019,0.000235
L/E-1010,0.0002,0.00027,0.00024,0.0002,0.00016,0.00019,0.00021
L/T-1001,0.00025,0.00019,0.00029,0.00028,0.00028,0.0002,0.000248333
R/E-0110,0.002,0.00192,0.00194,0.00187,0.00202,0.00196,0.001951667
R/T-0101,0.00028,0.00019,0.0002,0.0002,0.00013,0.00024,0.000206667
E/T-0011,0.00026,0.00025,0.00027,0.0002,0.0002,0.00029,0.000245
L/R/E-1110,0.00026,0.00026,0.00029,0.00025,0.00029,0.00025,0.000266667
L/R/T-1101,0.00026,0.00021,0.0002,0.00028,0.00028,0.0002,0.000238333
R/E/T-0111,0.00213,0.00228,0.00241,0.00221,0.00199,0.00211,0.002188333
L/E/T-1011,0.00024,0.0002,0.0002,0.00029,0.00021,0.00021,0.000225
TEM-85-1111,0.00294,0.0025,0.00237,0.00274,0.0027,0.00246,0.002618333
